DrugBank.ID1,DrugBank.ID1,repoDB_status
DB00001,DB00278,1
DB00002,DB00432,1
DB00002,DB00544,1
DB00002,DB09343,1
DB00003,DB00742,1
DB00004,DB00223,1
DB00004,DB00240,1
DB00004,DB00288,1
DB00004,DB00307,1
DB00004,DB00443,1
DB00004,DB00547,1
DB00004,DB00553,1
DB00004,DB00588,1
DB00004,DB00591,1
DB00004,DB00596,1
DB00004,DB00620,1
DB00004,DB00635,1
DB00004,DB00663,1
DB00004,DB00741,1
DB00004,DB00764,1
DB00004,DB00838,1
DB00004,DB00846,1
DB00004,DB00860,1
DB00004,DB00888,1
DB00004,DB00959,1
DB00004,DB01047,1
DB00004,DB01130,1
DB00004,DB01234,1
DB00004,DB01260,1
DB00004,DB01380,1
DB00004,DB02546,1
DB00004,DB06176,1
DB00004,DB06603,1
DB00004,DB06786,1
DB00005,DB00026,1
DB00005,DB00051,1
DB00005,DB00065,1
DB00005,DB00073,1
DB00005,DB00091,1
DB00005,DB00092,1
DB00005,DB00095,1
DB00005,DB00136,1
DB00005,DB00223,1
DB00005,DB00240,1
DB00005,DB00288,1
DB00005,DB00328,1
DB00005,DB00443,1
DB00005,DB00461,1
DB00005,DB00482,1
DB00005,DB00500,1
DB00005,DB00547,1
DB00005,DB00554,1
DB00005,DB00563,1
DB00005,DB00573,1
DB00005,DB00586,1
DB00005,DB00588,1
DB00005,DB00591,1
DB00005,DB00596,1
DB00005,DB00605,1
DB00005,DB00608,1
DB00005,DB00620,1
DB00005,DB00635,1
DB00005,DB00663,1
DB00005,DB00712,1
DB00005,DB00741,1
DB00005,DB00749,1
DB00005,DB00764,1
DB00005,DB00788,1
DB00005,DB00795,1
DB00005,DB00814,1
DB00005,DB00838,1
DB00005,DB00846,1
DB00005,DB00859,1
DB00005,DB00860,1
DB00005,DB00861,1
DB00005,DB00936,1
DB00005,DB00939,1
DB00005,DB00945,1
DB00005,DB00959,1
DB00005,DB00991,1
DB00005,DB00993,1
DB00005,DB00995,1
DB00005,DB01009,1
DB00005,DB01013,1
DB00005,DB01047,1
DB00005,DB01050,1
DB00005,DB01097,1
DB00005,DB01130,1
DB00005,DB01234,1
DB00005,DB01260,1
DB00005,DB01281,1
DB00005,DB01356,1
DB00005,DB01380,1
DB00005,DB01397,1
DB00005,DB01399,1
DB00005,DB01600,1
DB00005,DB01611,1
DB00005,DB02300,1
DB00005,DB05676,1
DB00005,DB05679,1
DB00005,DB06273,1
DB00005,DB06674,1
DB00005,DB06786,1
DB00005,DB06824,1
DB00005,DB08880,1
DB00005,DB08895,1
DB00005,DB08904,1
DB00005,DB09029,1
DB00005,DB09212,1
DB00005,DB09213,1
DB00005,DB09276,1
DB00005,DB11569,1
DB00007,DB00014,1
DB00007,DB00302,1
DB00007,DB00396,1
DB00007,DB00603,1
DB00007,DB00666,1
DB00007,DB00717,1
DB00007,DB01357,1
DB00007,DB01406,1
DB00007,DB06788,1
DB00008,DB00022,1
DB00008,DB00300,1
DB00008,DB00442,1
DB00008,DB00503,1
DB00008,DB00709,1
DB00008,DB00718,1
DB00008,DB00811,1
DB00008,DB01265,1
DB00008,DB05521,1
DB00008,DB06290,1
DB00008,DB08873,1
DB00008,DB08934,1
DB00008,DB09027,1
DB00008,DB09102,1
DB00008,DB09183,1
DB00008,DB09296,1
DB00008,DB09297,1
DB00008,DB11574,1
DB00008,DB11575,1
DB00009,DB00013,1
DB00009,DB00015,1
DB00009,DB00031,1
DB00009,DB09075,1
DB00009,DB09258,1
DB00010,DB00052,1
DB00013,DB09075,1
DB00013,DB09258,1
DB00014,DB00302,1
DB00014,DB00351,1
DB00014,DB00396,1
DB00014,DB00603,1
DB00014,DB00624,1
DB00014,DB00666,1
DB00014,DB00717,1
DB00014,DB01185,1
DB00014,DB01217,1
DB00014,DB01357,1
DB00014,DB01406,1
DB00014,DB01420,1
DB00014,DB01590,1
DB00014,DB06710,1
DB00015,DB00031,1
DB00016,DB08804,1
DB00016,DB08894,1
DB00016,DB08923,1
DB00016,DB09107,1
DB00017,DB00153,1
DB00017,DB00169,1
DB00017,DB00282,1
DB00017,DB00399,1
DB00017,DB00481,1
DB00017,DB00630,1
DB00017,DB00710,1
DB00017,DB00884,1
DB00017,DB01077,1
DB00017,DB01133,1
DB00017,DB06285,1
DB00017,DB06401,1
DB00017,DB06643,1
DB00017,DB09267,1
DB00019,DB00020,1
DB00019,DB00099,1
DB00019,DB09560,1
DB00020,DB00099,1
DB00020,DB09560,1
DB00022,DB00503,1
DB00022,DB00811,1
DB00022,DB05521,1
DB00022,DB06290,1
DB00022,DB08873,1
DB00022,DB08934,1
DB00022,DB09027,1
DB00022,DB09102,1
DB00022,DB09183,1
DB00022,DB09296,1
DB00022,DB09297,1
DB00022,DB11574,1
DB00022,DB11575,1
DB00023,DB00059,1
DB00023,DB00309,1
DB00023,DB00443,1
DB00023,DB00444,1
DB00023,DB00541,1
DB00023,DB00563,1
DB00023,DB00620,1
DB00023,DB00631,1
DB00023,DB00635,1
DB00023,DB00694,1
DB00023,DB00741,1
DB00023,DB00860,1
DB00023,DB00959,1
DB00023,DB00987,1
DB00023,DB00997,1
DB00023,DB01033,1
DB00023,DB01234,1
DB00023,DB01380,1
DB00026,DB00051,1
DB00026,DB00065,1
DB00026,DB00073,1
DB00026,DB00091,1
DB00026,DB00328,1
DB00026,DB00443,1
DB00026,DB00461,1
DB00026,DB00482,1
DB00026,DB00500,1
DB00026,DB00554,1
DB00026,DB00563,1
DB00026,DB00573,1
DB00026,DB00586,1
DB00026,DB00605,1
DB00026,DB00608,1
DB00026,DB00620,1
DB00026,DB00635,1
DB00026,DB00712,1
DB00026,DB00741,1
DB00026,DB00749,1
DB00026,DB00788,1
DB00026,DB00795,1
DB00026,DB00814,1
DB00026,DB00859,1
DB00026,DB00860,1
DB00026,DB00861,1
DB00026,DB00936,1
DB00026,DB00939,1
DB00026,DB00945,1
DB00026,DB00959,1
DB00026,DB00991,1
DB00026,DB00993,1
DB00026,DB00995,1
DB00026,DB01009,1
DB00026,DB01050,1
DB00026,DB01097,1
DB00026,DB01234,1
DB00026,DB01281,1
DB00026,DB01356,1
DB00026,DB01380,1
